観測所ID,地点名,かな,都道府県,地方,緯度,経度,標高(m),種別,観測要素,気象庁ページURL,状態,観測期間
12596,上富良野,カミフラノ,北海道,北海道,43.455,142.465,220,アメダス,気温 / 降水量 / 風 / 日照時間 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=12&block_no=1190&year=&month=&day=&view=,現役,
12626,富良野,フラノ,北海道,北海道,43.333333,142.4,174,アメダス,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=12&block_no=0021&year=&month=&day=&view=,現役,
12632,麓郷,ロクゴウ,北海道,北海道,43.301667,142.521667,315,アメダス,気温 / 降水量 / 風 / 日照時間 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=12&block_no=1280&year=&month=&day=&view=,現役,
12691,幾寅,イクトラ,北海道,北海道,43.168333,142.568333,350,アメダス,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=12&block_no=1188&year=&month=&day=&view=,現役,
12746,占冠,シムカップ,北海道,北海道,42.978333,142.395,332,アメダス,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=12&block_no=1189&year=&month=&day=&view=,現役,
13061,天塩,テシオ,北海道,北海道,44.893333,141.761667,9,アメダス,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=13&block_no=0024&year=&month=&day=&view=,現役,
13086,遠別,エンベツ,北海道,北海道,44.718333,141.806667,7,アメダス,気温 / 降水量 / 風 / 日照時間 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=13&block_no=0025&year=&month=&day=&view=,現役,
13121,初山別,ショサンベツ,北海道,北海道,44.523333,141.77,27,アメダス,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=13&block_no=1216&year=&month=&day=&view=,現役,
13146,焼尻,ヤギシリ,北海道,北海道,44.428333,141.421667,38,アメダス,気温 / 降水量 / 風 / 日照時間 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=13&block_no=1213&year=&month=&day=&view=,現役,
13181,羽幌,ハボロ,北海道,北海道,44.363333,141.7,8,気象台等,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=13&block_no=47404&year=&month=&day=&view=,現役,
13261,達布,タップ,北海道,北海道,44.048333,141.856667,30,アメダス,気温 / 降水量 / 風 / 日照時間 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=13&block_no=1217&year=&month=&day=&view=,現役,
13277,留萌,ルモイ,北海道,北海道,43.945,141.631667,24,気象台等,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=13&block_no=47406&year=&month=&day=&view=,現役,
13311,増毛,マシケ,北海道,北海道,43.848333,141.51,20,アメダス,気温 / 降水量 / 風 / 日照時間 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=13&block_no=0028&year=&month=&day=&view=,現役,
13321,幌糠,ホロヌカ,北海道,北海道,43.853333,141.76,20,アメダス,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=13&block_no=1218&year=&month=&day=&view=,現役,
14026,浜益,ハママス,北海道,北海道,43.581667,141.386667,3,アメダス,気温 / 降水量 / 風 / 日照時間 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=14&block_no=1193&year=&month=&day=&view=,現役,
14071,厚田,アツタ,北海道,北海道,43.396667,141.436667,5,アメダス,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=14&block_no=1194&year=&month=&day=&view=,現役,
14101,新篠津,シンシノツ,北海道,北海道,43.22,141.645,9,アメダス,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=14&block_no=0030&year=&month=&day=&view=,現役,
14116,山口,ヤマグチ,北海道,北海道,43.148333,141.221667,5,アメダス,気温 / 降水量 / 風 / 日照時間 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=14&block_no=0031&year=&month=&day=&view=,現役,
14121,石狩,イシカリ,北海道,北海道,43.193333,141.37,5,アメダス,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=14&block_no=1085&year=&month=&day=&view=,現役,
14136,江別,エベツ,北海道,北海道,43.11,141.601667,8,アメダス,気温 / 降水量 / 風 / 日照時間 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=14&block_no=1507&year=&month=&day=&view=,現役,
14163,札幌,サッポロ,北海道,北海道,43.06,141.328333,17,気象台等,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=14&block_no=47412&year=&month=&day=&view=,現役,
14206,恵庭島松,エニワシママツ,北海道,北海道,42.926667,141.565,30,アメダス,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=14&block_no=0035&year=&month=&day=&view=,現役,
14286,支笏湖畔,シコツコハン,北海道,北海道,42.771667,141.406667,290,アメダス,気温 / 降水量 / 風 / 日照時間 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=14&block_no=0037&year=&month=&day=&view=,現役,
14296,千歳,チトセ：新千歳空港,北海道,北海道,42.775,141.691667,22,アメダス,気温 / 降水量 / 風 / 積雪,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=14&block_no=1459&year=&month=&day=&view=,現役,
15041,朱鞠内,シュマリナイ,北海道,北海道,44.281667,142.161667,255,アメダス,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=12&block_no=1279&year=&month=&day=&view=,現役,
15076,幌加内,ホロカナイ,北海道,北海道,44.01,142.16,159,アメダス,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=12&block_no=1053&year=&month=&day=&view=,現役,
15116,石狩沼田,イシカリヌマタ,北海道,北海道,43.815,141.926667,63,アメダス,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=15&block_no=0038&year=&month=&day=&view=,現役,
15156,秩父別,チップベツ,北海道,北海道,43.78,141.961667,51,気象台等,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=15&block_no=1674&year=&month=&day=&view=,現役,
15161,深川,フカガワ,北海道,北海道,43.718333,142.073333,55,アメダス,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=15&block_no=0039&year=&month=&day=&view=,現役,
15231,空知吉野,ソラチヨシノ,北海道,北海道,43.595,141.731667,100,アメダス,気温 / 降水量 / 風 / 日照時間 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=15&block_no=1287&year=&month=&day=&view=,現役,
15241,滝川,タキカワ,北海道,北海道,43.57,141.938333,50,アメダス,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=15&block_no=0041&year=&month=&day=&view=,現役,
15251,芦別,アシベツ,北海道,北海道,43.52,142.19,91,アメダス,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=15&block_no=0043&year=&month=&day=&view=,現役,
15311,月形,ツキガタ,北海道,北海道,43.33,141.616667,50,アメダス,気温 / 降水量 / 風 / 日照時間 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=15&block_no=0999&year=&month=&day=&view=,現役,
15321,美唄,ビバイ,北海道,北海道,43.363333,141.826667,16,アメダス,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=15&block_no=0044&year=&month=&day=&view=,現役,
15356,岩見沢,イワミザワ,北海道,北海道,43.211667,141.785,42,気象台等,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=15&block_no=47413&year=&month=&day=&view=,現役,
15431,長沼,ナガヌマ,北海道,北海道,43.011667,141.693333,13,アメダス,気温 / 降水量 / 風 / 日照時間 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=15&block_no=0047&year=&month=&day=&view=,現役,
15442,夕張,ユウバリ,北海道,北海道,43.038333,141.956667,293,アメダス,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=15&block_no=0049&year=&month=&day=&view=,現役,
16026,美国,ビクニ,北海道,北海道,43.271667,140.563333,75,アメダス,気温 / 降水量 / 風 / 日照時間 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=16&block_no=0051&year=&month=&day=&view=,現役,
16061,神恵内,カモエナイ,北海道,北海道,43.145,140.423333,50,アメダス,気温 / 降水量 / 風 / 日照時間 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=16&block_no=1208&year=&month=&day=&view=,現役,
16076,余市,ヨイチ,北海道,北海道,43.181667,140.758333,20,アメダス,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=16&block_no=0052&year=&month=&day=&view=,現役,
16091,小樽,オタル,北海道,北海道,43.181667,141.015,25,気象台等,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=16&block_no=47411&year=&month=&day=&view=,現役,
16156,共和,キョウワ,北海道,北海道,42.98,140.603333,15,アメダス,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=16&block_no=0054&year=&month=&day=&view=,現役,
16206,蘭越,ランコシ,北海道,北海道,42.81,140.541667,39,アメダス,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=16&block_no=0055&year=&month=&day=&view=,現役,
16217,倶知安,クッチャン,北海道,北海道,42.9,140.756667,176,気象台等,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=16&block_no=47433&year=&month=&day=&view=,現役,
16252,寿都,スッツ,北海道,北海道,42.795,140.223333,33,気象台等,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=16&block_no=47421&year=&month=&day=&view=,現役,
16281,真狩,マッカリ,北海道,北海道,42.775,140.88,440,アメダス,気温 / 降水量 / 風 / 日照時間 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=16&block_no=1072&year=&month=&day=&view=,現役,
16286,喜茂別,キモベツ,北海道,北海道,42.793333,140.948333,264,アメダス,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=16&block_no=0060&year=&month=&day=&view=,現役,
16321,黒松内,クロマツナイ,北海道,北海道,42.663333,140.31,27,アメダス,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=16&block_no=0061&year=&month=&day=&view=,現役,
17036,雄武,オウム,北海道,北海道,44.58,142.963333,14,気象台等,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=17&block_no=47405&year=&month=&day=&view=,現役,
17076,興部,オコッペ,北海道,北海道,44.47,143.108333,8,アメダス,気温 / 降水量 / 風 / 日照時間 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=17&block_no=0063&year=&month=&day=&view=,現役,
17091,西興部,ニシオコッペ,北海道,北海道,44.331667,142.935,120,アメダス,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=17&block_no=1073&year=&month=&day=&view=,現役,
17112,紋別,モンベツ,北海道,北海道,44.345,143.355,16,気象台等,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=17&block_no=47435&year=&month=&day=&view=,現役,
17116,紋別小向,モンベツコムカイ：紋別空港,北海道,北海道,44.303333,143.403333,18,アメダス,気温 / 降水量 / 風 / 積雪,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=17&block_no=1487&year=&month=&day=&view=,現役,
17166,湧別,ユウベツ,北海道,北海道,44.213333,143.618333,5,アメダス,気温 / 降水量 / 風 / 日照時間 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=17&block_no=0065&year=&month=&day=&view=,現役,
17196,滝上,タキノウエ,北海道,北海道,44.176667,143.061667,165,アメダス,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=17&block_no=0066&year=&month=&day=&view=,現役,
17246,常呂,トコロ,北海道,北海道,44.115,144.036667,3,アメダス,気温 / 降水量 / 風 / 日照時間 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=17&block_no=0068&year=&month=&day=&view=,現役,
17306,遠軽,エンガル,北海道,北海道,44.053333,143.54,80,アメダス,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=17&block_no=0069&year=&month=&day=&view=,現役,
17316,佐呂間,サロマ,北海道,北海道,44.018333,143.76,54,アメダス,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=17&block_no=0070&year=&month=&day=&view=,現役,
17341,網走,アバシリ,北海道,北海道,44.016667,144.278333,38,気象台等,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=17&block_no=47409&year=&month=&day=&view=,現役,
17351,宇登呂,ウトロ,北海道,北海道,44.051667,144.981667,144,アメダス,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=17&block_no=0981&year=&month=&day=&view=,現役,
17482,白滝,シラタキ,北海道,北海道,43.865,143.153333,475,アメダス,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=17&block_no=1092&year=&month=&day=&view=,現役,
17501,生田原,イクタハラ,北海道,北海道,43.916667,143.531667,199,アメダス,気温 / 降水量 / 風 / 日照時間 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=17&block_no=0072&year=&month=&day=&view=,現役,
17521,北見,キタミ,北海道,北海道,43.776667,143.841667,104,アメダス,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=17&block_no=0074&year=&month=&day=&view=,現役,
17531,女満別,メマンベツ：女満別空港,北海道,北海道,43.88,144.163333,33,アメダス,気温 / 降水量 / 風 / 積雪,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=17&block_no=1460&year=&month=&day=&view=,現役,
17546,小清水,コシミズ,北海道,北海道,43.841667,144.485,52,アメダス,気温 / 降水量 / 風 / 日照時間 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=17&block_no=0075&year=&month=&day=&view=,現役,
17561,斜里,シャリ,北海道,北海道,43.885,144.7,15,アメダス,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=17&block_no=0076&year=&month=&day=&view=,現役,
17596,留辺蘂,ルベシベ,北海道,北海道,43.741667,143.45,325,アメダス,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=17&block_no=0077&year=&month=&day=&view=,現役,
17607,境野,サカイノ,北海道,北海道,43.706667,143.643333,184,アメダス,気温 / 降水量 / 風 / 日照時間 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=17&block_no=1209&year=&month=&day=&view=,現役,
17631,美幌,ビホロ,北海道,北海道,43.77,144.171667,60,アメダス,気温 / 降水量 / 風 / 日照時間 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=17&block_no=0079&year=&month=&day=&view=,現役,
17717,津別,ツベツ,北海道,北海道,43.701667,144.033333,100,アメダス,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=17&block_no=0082&year=&month=&day=&view=,現役,
18038,羅臼,ラウス,北海道,北海道,44.023333,145.186667,15,アメダス,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=18&block_no=0084&year=&month=&day=&view=,現役,
18136,標津,シベツ,北海道,北海道,43.661667,145.131667,3,アメダス,気温 / 降水量 / 風 / 日照時間 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=18&block_no=0085&year=&month=&day=&view=,現役,
18161,上標津,カミシベツ,北海道,北海道,43.52,144.746667,160,アメダス,気温 / 降水量 / 風 / 日照時間 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=18&block_no=1547&year=&month=&day=&view=,現役,
18171,中標津,ナカシベツ,北海道,北海道,43.543333,144.978333,50,アメダス,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=18&block_no=0086&year=&month=&day=&view=,現役,
18174,根室中標津,ネムロナカシベツ：中標津空港,北海道,北海道,43.576667,144.96,65,アメダス,気温 / 降水量 / 風 / 積雪,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=18&block_no=1489&year=&month=&day=&view=,現役,
18256,別海,ベツカイ,北海道,北海道,43.381667,145.118333,23,アメダス,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=18&block_no=0088&year=&month=&day=&view=,現役,
18273,根室,ネムロ,北海道,北海道,43.33,145.585,25,気象台等,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=18&block_no=47420&year=&month=&day=&view=,現役,
18281,納沙布,ノサップ,北海道,北海道,43.393333,145.758333,12,アメダス,気温 / 降水量 / 風 / 日照時間 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=18&block_no=1056&year=&month=&day=&view=,現役,
18311,厚床,アットコ,北海道,北海道,43.22,145.226667,41,アメダス,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=18&block_no=1196&year=&month=&day=&view=,現役,
19021,川湯,カワユ,北海道,北海道,43.616667,144.456667,158,アメダス,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=19&block_no=0090&year=&month=&day=&view=,現役,
19051,弟子屈,テシカガ,北海道,北海道,43.51,144.466667,170,アメダス,気温 / 降水量 / 風 / 日照時間 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=19&block_no=1187&year=&month=&day=&view=,現役,
19076,阿寒湖畔,アカンコハン,北海道,北海道,43.436667,144.083333,426,アメダス,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=19&block_no=0091&year=&month=&day=&view=,現役,
19151,標茶,シベチャ,北海道,北海道,43.291667,144.586667,20,アメダス,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=19&block_no=0093&year=&month=&day=&view=,現役,
19191,鶴居,ツルイ,北海道,北海道,43.231667,144.325,38,アメダス,気温 / 降水量 / 風 / 日照時間 / 積雪 / 湿度,https://www.data.jma.go.jp/stats/etrn/index.php?prec_no=19&block_no=1186&year=&month=&day=&view=,現役,
